chr5	15228798	15260402
chr2	43301895	43306146
chr13	53037516	53038864
chr13	21455655	21458145
chr1	85910957	85915409
chr16	67565106	67568244
chr2	231884087	231885265
chr1	105091218	105092753
chr20	23039635	23055953
chr2	24547080	24548453
chr22	16940402	16944607
chr10	91743010	91749571
chr8	5742207	5758561
chr17	4232177	4233901
chr20	16143040	16151318
chr4	112949390	112995250
chr16	48005604	48007214
chr1	182546284	182547847
chr9	36474157	36474999
chr3	14385028	14392225
chr11	56384293	56395496
chr20	49385027	49387836
chr8	104014161	104014505
chrX	80287951	80295028
chr8	135118174	135120085
chr6	55413595	55417911
chr7	146253839	146254815
chr10	91840212	91840808
chr5	26026711	26028832
chr3	28511595	28537146
chr19	53096015	53097618
chr2	40764807	40772028
chr13	88469260	88472105
chr12	2069969	2071786
chr22	50031103	50047669
chr4	113225327	113232187
chr18	10462404	10462659
chr12	133762765	133764199
chr6	139119584	139123672
chr10	61361925	61365001
chr16	12105217	12109804
chr14	90829318	90829690
chr3	114488988	114490996
chr10	17407069	17411490
chr2	242017590	242018331
chr4	11880257	11898796
chr11	118607714	118616631
chr8	11642166	11645317
chr12	132094079	132098818
chr3	155595468	155615602
chr4	55074371	55074570
chr12	38084722	38086524
chr3	11956506	11958084
chr1	71718761	71731545
chr2	76557061	76557292
chr8	114197224	114197336
chr2	49487430	49491516
chr3	29558377	29569679
chr15	23177653	23183042
chr7	36953181	36953317
chrX	32298048	32298151
chr2	9534364	9537967
chr4	119322762	119322885
chr3	8718398	8720102
chr4	80274238	80274462
chr5	109664943	109665189
chr11	25245552	25255963
chr17	20951047	20960427
chr22	44564941	44566024
chr15	61285472	61290849
chr10	65650476	65651275
chr13	32477801	32494960
chr10	71085697	71086857
chr16	78171653	78172364
chr14	105417077	105419864
chr10	17094418	17101654
chr4	79391949	79392640
chr14	33755626	33758798
chr1	165469847	165474096
chr1	155509462	155520806
chr11	49918694	49918894
chr10	86119391	86120022
chr4	70959706	71082055
chr4	185767127	185769126
chr20	49662112	49676182
chr3	192901787	192904956
chr12	102275878	102277121
chr3	59022828	59052536
chr10	6976973	6987503
chr7	125558483	125598974
chr16	77523358	77683773
chr1	153831851	153841494
chr11	4807560	4911702
chr6	140791908	140793825
chr12	97811612	97816575
chr22	38955892	38964805
chr1	17868275	17869946
chr10	25115483	25121163
chr12	30348844	30349948
chr10	54998746	55088863
chr3	88565701	88566529
chr11	99732616	99735785
chr19	13626197	13628702
chr12	60745707	60757087
chr1	121141175	121170321
chr9	82475488	82475832
chr7	41132962	41133419
chr8	9479186	9484496
chr14	48407561	48408840
chr15	51119982	51125407
chr17	27389313	27393469
chr2	152243679	152257745
chr19	57508485	57509952
chr13	68397289	68397946
chr5	146485307	146487201
chrX	98785810	98787896
chr2	47138761	47140746
chr20	52240637	52241370
chr16	74224413	74225883
chr1	203790503	203793507
chr8	51992875	51995707
chr17	2533554	2534210
chr10	102288069	102291404
chr3	194398762	194400296
chr11	101444635	101445461
chr17	4468512	4470067
chr2	5593658	5604746
chr1	225745284	225748699
chr3	185857384	185859055
chr16	9961956	9966584
chr2	111883196	111886130
chr5	17651003	17796720
chr9	8152608	8152712
chr17	80407483	80408431
chr1	19647187	19648342
chr11	12091682	12096715
chr7	56493670	56496850
chr2	95706333	95707429
chr6	19685573	19686511
chr12	10995065	10995658
chr1	238840119	238883317
chr2	40642778	40655158
chr2	59331918	59342511
chr2	67319127	67334496
chr11	12543450	12545178
chr1	157540655	157540871
chr2	163934121	163935798
chr17	2693697	2696732
chr2	149960423	149970626
chr4	127519528	127569887
chr21	30560381	30561536
chr18	20054141	20067271
chr12	104597022	104644702
chr1	21437150	21443545
chr13	73847728	73857221
chr13	55970790	56035083
chr2	58688824	58691324
chr3	7905946	7906150
chr4	64091087	64091241
chr8	92665401	92665595
chr3	186094727	186096799
chr2	46705265	46706907
chr11	40774804	40796039
chr6	7984382	7987235
chr4	152161353	152163154
chr13	28669631	28670811
chr3	155037216	155052753
chr8	3518052	3519166
chr14	46425917	46698338
chr1	154157587	154161373
chr3	93954860	93958526
chr18	35825519	35838194
chr18	33585202	33589205
chr1	228846837	228855752
chr6	136569528	136570778
chr17	48844118	48844503
chrX	148803850	148831837
chr11	132566389	132575348
chr8	134359568	134360174
chr8	6643191	6655048
chr5	116755975	116756544
chr14	75039323	75042689
chr21	35696523	35696643
chr12	75025512	75028885
chr12	121535791	121542362
chr1	48352571	48353250
chr9	28507830	28644878
chr16	74138685	74140754
chr1	234086934	234087823
chr14	70787842	70789134
chr9	9898128	9919575
chr1	222374169	222380531
chr5	161585512	161585660
chr12	80442260	80442515
chrX	93487027	93488017
chr4	71799331	71800240
chr7	109452956	109463483
chr8	62850069	62861079
chrX	66483120	66484333
chr2	57549190	57553493
chr8	119931098	119931498
chr2	102998379	102999595
chr7	4256241	4259574
chr4	84589443	84591864
chr11	134752693	134761695
chr9	17256978	17269407
chr3	45477906	45486264
chr13	64918629	64924986
chr14	49366265	49389625
chr19	24314936	24325023
chr7	8872625	8883592
chr4	165057444	165061537
chr1	111527716	111536638
chr10	102992635	102999830
chr20	43275101	43278318
chr2	135846650	135847045
chr19	11417929	11422135
chr5	44668111	44669777
chr17	14684809	14907694
chr3	41762087	41763265
chr4	26045407	26050545
chr4	93855459	93861498
chr16	61613193	61619644
chr17	12622408	12624264
chr10	108045883	108178237
chr1	243836803	243837756
chr22	19571624	19573094
chr11	109051610	109061702
chr6	108787636	108792699
chr2	230719766	230720674
chr13	60441789	60493573
chr7	140020831	140022278
chr21	39314952	39317252
chr13	45089908	45099486
chr5	133400636	133401918
chr11	48956708	48957737
chr7	73584747	73593478
chr3	194754901	194755604
